airline_id,flight_number,booking_cd,passenger_name,seat_number,booking_class,ticket_fare,flight_extras,loyalty_points,flight_status,departure_gate,departure_terminal,baggage_claim_area,flight_duration_hours,number_of_layovers,layover_locations_code,aircraft_model,pilot_name,cabin_crew_names,inflight_entertainment,meal_preference,wifi_available,has_window_seat,has_aisle_seat,is_emergency_exit_row,total_stops,departure_datetime,arrival_datetime,departure_year,departure_month,departure_day,departure_hour,departure_minute,flight_day_of_week,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute,flight_duration_minutes,is_long_haul,is_reward_member
12,8446,BPSD,KYSMP,QUK,Economy,940.22,No Extras,0,Confirmed,NX,B,EXU,6.08,2,ANZ,ADI,MRAV,HNWR,True,Vegan,True,False,False,True,2,2023-12-26 18:54:30,2023-11-17 20:37:39,2023,12,26,18,54,Tuesday,2023,11,17,20,37,364.8,True,False
11,2308,BCKX,SOLWH,NPD,Economy,372.06,Extra baggage,0,Confirmed,ED,C,WJA,5.29,0,NVO,WEL,SBGH,XNVL,False,Vegetarian,False,True,True,False,2,2023-04-27 15:45:25,2023-04-23 11:16:36,2023,4,27,15,45,Thursday,2023,4,23,11,16,317.4,False,False
10,9339,BQEW,VAVHE,NJM,Economy,99.17,Extra baggage,0,Pending,UY,B,YRJ,3.44,0,LMV,TCI,JTIX,IDGJ,True,Non-vegetarian,False,True,False,True,1,2023-07-01 13:03:38,2023-08-22 23:00:08,2023,7,1,13,3,Saturday,2023,8,22,23,0,206.4,False,True
3,5016,BIAY,XALDO,KDB,Economy,85.7,Extra baggage,1568,Cancelled,OL,A,JNK,10.92,2,DCI,WXA,IDMC,SINV,True,Non-vegetarian,True,True,True,False,1,2023-04-18 09:59:45,2023-09-15 16:27:37,2023,4,18,9,59,Tuesday,2023,9,15,16,27,655.2,True,True
13,4940,BIDP,IJUMJ,EPB,First,255.52,Extra baggage,1419,Pending,XB,B,SRM,1.38,1,FFK,KGR,FSZI,QSFC,False,Non-vegetarian,False,True,True,False,1,2023-08-09 23:24:15,2023-12-30 13:45:44,2023,8,9,23,24,Wednesday,2023,12,30,13,45,82.8,False,True
3,7713,BOJE,JNSSY,CHY,Business,135.1,Extra baggage,0,Confirmed,WV,A,TJY,8.82,2,RAJ,QXS,NPWM,DINU,True,Vegan,True,False,False,True,2,2023-07-01 14:57:08,2023-01-01 11:49:41,2023,7,1,14,57,Saturday,2023,1,1,11,49,529.2,True,False
15,5071,BPFP,AVVZX,YWD,Business,804.19,Extra baggage,0,Cancelled,VI,B,HBK,3.74,1,CYV,SAE,VQAP,CNBU,True,No meal,False,False,False,False,0,2023-11-26 16:45:41,2023-01-31 10:03:45,2023,11,26,16,45,Sunday,2023,1,31,10,3,224.4,False,False
16,9107,BDVU,HQWJA,YQR,First,690.75,Extra baggage,0,Pending,IQ,A,KAM,9.27,2,TTN,JKC,NLSM,ZHDD,False,Non-vegetarian,True,True,True,False,2,2023-06-12 15:25:47,2023-07-12 00:39:23,2023,6,12,15,25,Monday,2023,7,12,0,39,556.1999999999999,True,True
13,6912,BOCS,HEBSY,ZNE,Business,786.92,Meal,0,Confirmed,PR,D,QRW,10.05,0,FIA,GCN,EJSK,GELR,False,No meal,True,True,False,True,0,2023-07-01 12:46:22,2023-12-28 07:37:16,2023,7,1,12,46,Saturday,2023,12,28,7,37,603.0,True,True
17,1442,BIEP,BTWXK,UEX,Business,555.84,Meal,0,Pending,SX,C,LRL,7.43,1,TRU,FJJ,VWJO,ASMV,True,No meal,True,True,True,True,2,2023-06-26 23:21:17,2023-07-05 09:11:25,2023,6,26,23,21,Monday,2023,7,5,9,11,445.79999999999995,True,False
3,3944,BCHX,CZZIH,JBZ,Economy,499.88,Meal,0,Confirmed,BA,D,MUS,1.11,0,TWC,PKN,QVLY,FWUL,True,Vegan,True,True,True,False,1,2023-08-05 22:08:32,2023-02-24 06:22:01,2023,8,5,22,8,Saturday,2023,2,24,6,22,66.60000000000001,False,False
11,4936,BNCP,FNHOZ,IPU,First,393.88,No Extras,0,Pending,UX,A,MCL,5.68,1,DSP,NTX,DQMD,VYIJ,True,No meal,True,False,False,False,2,2023-02-21 05:17:55,2023-04-29 21:43:22,2023,2,21,5,17,Tuesday,2023,4,29,21,43,340.79999999999995,False,False
19,1398,BGIC,XCWHV,GYU,Business,822.8,No Extras,0,Pending,LY,D,CNP,4.28,0,DPO,AUJ,TZDM,VJZF,False,Vegan,False,False,False,False,2,2023-11-28 05:28:46,2023-12-05 02:28:16,2023,11,28,5,28,Tuesday,2023,12,5,2,28,256.8,False,True
11,3995,BHLQ,PFGMT,DYH,First,51.68,No Extras,0,Confirmed,YB,D,YVG,8.29,2,QUG,FHD,GLCT,KFQT,False,Vegetarian,True,True,True,False,2,2023-08-01 00:25:55,2023-01-12 03:49:45,2023,8,1,0,25,Tuesday,2023,1,12,3,49,497.4,True,True
16,7329,BNPS,ZZISG,CDY,Economy,539.74,No Extras,0,Cancelled,NS,D,KSH,10.52,1,YEQ,FCM,YGOJ,ZYCG,False,Non-vegetarian,True,True,False,True,0,2023-12-17 04:37:39,2023-05-08 16:13:05,2023,12,17,4,37,Sunday,2023,5,8,16,13,631.1999999999999,True,False
3,3216,BDCM,PYXGO,QPW,Business,405.04,No Extras,4757,Pending,CB,D,ONU,11.02,2,KWH,DCL,DYKZ,KVWV,False,Vegan,True,False,True,True,1,2023-10-10 08:36:06,2023-06-20 23:56:04,2023,10,10,8,36,Tuesday,2023,6,20,23,56,661.1999999999999,True,False
6,2707,BIML,EBBTE,OZO,Business,196.39,Meal,0,Pending,BK,D,NZH,3.64,2,BJM,KYN,WKWH,PVJW,False,Vegan,False,True,True,False,1,2023-06-08 07:12:03,2023-10-20 14:56:45,2023,6,8,7,12,Thursday,2023,10,20,14,56,218.4,False,False
14,6766,BZUO,LDRTK,SZW,Business,726.21,Meal,4586,Pending,ZB,A,ZWU,5.84,1,KUT,TXB,PFYD,OHRP,False,Non-vegetarian,True,True,True,False,2,2023-07-05 19:03:45,2023-10-13 11:00:53,2023,7,5,19,3,Wednesday,2023,10,13,11,0,350.4,False,True
18,6677,BCCB,UTFMZ,YJK,Economy,304.76,Extra baggage,650,Cancelled,QL,A,WVK,10.68,2,XIS,IGG,ZOLN,LTNT,False,Non-vegetarian,False,True,False,True,1,2023-10-01 22:17:59,2023-04-28 12:04:29,2023,10,1,22,17,Sunday,2023,4,28,12,4,640.8,True,True
17,3568,BZFY,WEYDJ,MLA,First,446.81,Meal,4560,Pending,YL,A,HKE,6.18,0,UTX,JNZ,NUHJ,QYOB,False,No meal,False,True,True,False,2,2023-05-03 20:18:34,2023-03-31 08:51:43,2023,5,3,20,18,Wednesday,2023,3,31,8,51,370.79999999999995,True,False
4,8638,BPWR,BZHTT,DSV,Business,325.33,No Extras,0,Confirmed,QU,D,OQN,2.56,2,FGB,TLC,PWFY,ETPW,False,Non-vegetarian,False,True,False,False,0,2023-09-29 07:46:07,2023-08-13 19:19:02,2023,9,29,7,46,Friday,2023,8,13,19,19,153.6,False,False
15,1160,BICW,CITBQ,DEM,Business,629.09,No Extras,492,Pending,AH,A,ZOI,6.25,0,DBF,VGU,DXSW,ISXC,True,No meal,True,True,True,False,1,2023-05-07 06:26:25,2023-10-27 21:32:18,2023,5,7,6,26,Sunday,2023,10,27,21,32,375.0,True,True
11,9067,BZWP,AXQEM,USP,Business,60.31,No Extras,0,Confirmed,GG,D,NYJ,7.73,0,BQC,YUH,DWMB,MLVH,False,Vegan,False,False,True,True,0,2023-07-23 11:14:52,2023-06-26 13:14:30,2023,7,23,11,14,Sunday,2023,6,26,13,14,463.8,True,False
3,4904,BDND,HGWNH,WVY,First,672.92,No Extras,0,Cancelled,JE,A,OPL,10.35,1,DVA,OSJ,VHYL,QBUQ,False,Non-vegetarian,True,False,False,False,2,2023-04-27 11:57:07,2023-05-22 14:14:39,2023,4,27,11,57,Thursday,2023,5,22,14,14,621.0,True,True
3,4573,BRRR,KCERE,UCU,Economy,442.49,Meal,0,Pending,TN,D,IPV,3.38,2,RAX,HTI,PMHD,AYFE,True,No meal,True,False,True,True,1,2023-12-14 09:36:34,2023-06-08 03:52:30,2023,12,14,9,36,Thursday,2023,6,8,3,52,202.79999999999998,False,True
16,2825,BUCZ,MEBZM,KLJ,Business,728.53,Meal,0,Cancelled,GS,D,ZFK,11.51,1,OUD,UED,HFJQ,KWDS,False,Vegetarian,False,False,True,False,1,2023-08-03 04:55:54,2023-11-01 08:16:03,2023,8,3,4,55,Thursday,2023,11,1,8,16,690.6,True,False
5,6582,BGMG,FQHQS,YPU,Economy,846.96,Meal,0,Cancelled,KN,D,HOO,9.56,1,XOF,EHH,CJMO,ELLI,False,Vegan,True,True,True,False,0,2023-09-22 12:21:47,2023-08-10 14:25:01,2023,9,22,12,21,Friday,2023,8,10,14,25,573.6,True,False
10,2176,BVMX,OARGG,GKA,Business,538.53,Extra baggage,0,Cancelled,ZC,D,OJB,3.97,0,RSE,YMR,UGLQ,RHHI,False,Non-vegetarian,False,False,False,False,2,2023-10-07 19:40:58,2023-10-17 15:59:47,2023,10,7,19,40,Saturday,2023,10,17,15,59,238.20000000000002,False,True
19,5918,BDPY,PKEUN,NOW,Business,875.75,Meal,0,Confirmed,FL,A,GWO,11.75,0,YAN,MZJ,USVT,MVWG,False,No meal,True,True,False,False,0,2023-05-04 05:58:32,2023-07-21 06:49:44,2023,5,4,5,58,Thursday,2023,7,21,6,49,705.0,True,True
4,5880,BOMJ,WZJEX,DKE,First,176.63,No Extras,0,Pending,AS,B,ALV,11.36,2,YSW,LDP,YRIU,TSZA,True,Vegan,True,False,True,False,2,2023-04-22 01:36:51,2023-06-30 13:24:44,2023,4,22,1,36,Saturday,2023,6,30,13,24,681.5999999999999,True,False
19,4220,BJED,SRZDW,HXE,First,82.78,Extra baggage,0,Confirmed,FX,D,RFZ,9.16,0,YQQ,OGF,SJXF,XSBC,False,Vegan,True,False,True,True,2,2023-12-30 09:34:19,2023-07-31 05:33:58,2023,12,30,9,34,Saturday,2023,7,31,5,33,549.6,True,False
11,8820,BSOI,ISKCK,BFF,First,891.18,No Extras,0,Pending,DU,B,DYI,7.14,2,YOA,XUV,YCTV,VTGI,False,Vegan,True,True,True,False,2,2023-09-01 10:57:22,2023-11-12 13:12:47,2023,9,1,10,57,Friday,2023,11,12,13,12,428.4,True,True
2,1130,BPDY,GQWRZ,QEN,Economy,161.93,No Extras,0,Pending,NU,A,XWN,11.13,2,KLK,ILV,EHIB,KNVO,False,Non-vegetarian,False,True,True,True,2,2023-01-30 07:25:26,2023-12-22 16:40:37,2023,1,30,7,25,Monday,2023,12,22,16,40,667.8000000000001,True,False
10,7659,BKQU,OQZYQ,DON,Business,222.0,Meal,0,Pending,WK,C,OQX,5.87,2,MXS,GZL,MUCB,RTTT,False,Vegan,True,False,True,False,0,2023-11-27 17:59:17,2023-06-29 11:44:43,2023,11,27,17,59,Monday,2023,6,29,11,44,352.2,False,True
11,4562,BAIL,XJOWP,LAH,First,165.18,Extra baggage,0,Cancelled,GF,B,NAB,5.68,0,AAW,MKV,IJAG,CTIR,False,Non-vegetarian,True,False,True,False,0,2023-03-24 21:12:52,2023-11-18 10:36:47,2023,3,24,21,12,Friday,2023,11,18,10,36,340.79999999999995,False,False
16,2499,BWLJ,OZIUS,XRZ,Business,212.79,Extra baggage,4264,Pending,VS,B,GZX,5.15,1,EQA,UDM,WMYH,QVJO,False,No meal,True,True,True,True,1,2023-11-23 02:44:22,2023-11-05 12:00:56,2023,11,23,2,44,Thursday,2023,11,5,12,0,309.0,False,False
19,8430,BIUZ,ABFXI,KNY,First,904.14,Meal,705,Confirmed,SK,B,QGF,10.07,1,SHB,OCD,MPDH,WKMH,True,Non-vegetarian,True,False,False,True,2,2023-09-20 23:12:27,2023-03-03 13:39:08,2023,9,20,23,12,Wednesday,2023,3,3,13,39,604.2,True,False
11,8705,BYTP,XRAJD,SSD,Business,855.53,Extra baggage,0,Confirmed,VN,B,DJI,2.71,1,FAY,PIN,SHXM,QOGC,False,Vegan,False,False,True,True,1,2023-06-10 09:45:07,2023-07-09 14:18:42,2023,6,10,9,45,Saturday,2023,7,9,14,18,162.6,False,False
14,8626,BMCR,NUZFT,GRO,Business,302.24,Meal,0,Pending,UX,C,UKG,1.74,2,BWI,YWB,ACOG,LAZW,False,Vegetarian,False,False,False,True,1,2023-08-27 04:00:25,2023-12-03 09:49:31,2023,8,27,4,0,Sunday,2023,12,3,9,49,104.4,False,False
2,7679,BDSY,EOXJC,JPO,Economy,719.4,Meal,0,Pending,ML,C,ZVI,4.38,1,PFJ,DTA,FJPL,GPDP,True,No meal,True,True,True,True,0,2023-08-01 09:28:59,2023-05-05 01:35:47,2023,8,1,9,28,Tuesday,2023,5,5,1,35,262.8,False,True
5,3788,BMML,QIIOR,BID,Business,798.93,No Extras,2145,Confirmed,MZ,C,QAH,11.38,1,MJH,RFH,FXKL,AQIP,False,Non-vegetarian,True,False,False,True,1,2023-08-25 09:17:24,2023-08-17 06:39:09,2023,8,25,9,17,Friday,2023,8,17,6,39,682.8000000000001,True,True
5,5876,BXAB,CHCSV,GYW,Business,197.14,No Extras,0,Cancelled,AX,C,ZRS,6.04,0,TGZ,ENI,RMOT,GBCW,False,Vegan,False,False,True,False,2,2023-03-01 19:36:48,2023-12-12 14:00:03,2023,3,1,19,36,Wednesday,2023,12,12,14,0,362.4,True,True
19,4708,BCVU,MVPGZ,UQL,Business,266.76,No Extras,0,Confirmed,LK,C,DQP,4.38,0,QPG,RAP,WSXD,DUCZ,False,Vegetarian,False,True,False,True,0,2023-04-13 00:04:12,2023-02-15 00:49:26,2023,4,13,0,4,Thursday,2023,2,15,0,49,262.8,False,False
12,2769,BUVM,TEZSB,YHU,First,503.92,No Extras,0,Cancelled,SZ,C,YPY,1.59,0,EUL,IJP,PBRL,YRGZ,False,No meal,False,False,False,False,2,2023-10-11 02:50:08,2023-07-31 12:14:48,2023,10,11,2,50,Wednesday,2023,7,31,12,14,95.4,False,True
18,7731,BLPN,CCBPQ,IXD,Business,654.79,Meal,0,Confirmed,EP,C,NYA,8.3,2,KCI,OGV,AXLE,OCMI,False,Vegetarian,False,False,False,True,1,2023-06-30 23:22:31,2023-06-01 20:18:27,2023,6,30,23,22,Friday,2023,6,1,20,18,498.00000000000006,True,True
4,4044,BXNQ,PPSQX,BYM,Economy,449.75,No Extras,0,Pending,QC,B,HFY,6.87,2,PRG,TTO,HZIJ,LZLN,True,Non-vegetarian,False,True,False,True,0,2023-11-25 15:26:25,2023-08-29 05:23:11,2023,11,25,15,26,Saturday,2023,8,29,5,23,412.2,True,True
17,1375,BEFJ,ELVLZ,YGO,Economy,793.62,No Extras,0,Pending,LB,D,JNY,9.71,0,XGV,SHT,LQZW,NNOJ,True,Vegan,True,False,False,False,1,2023-01-13 22:58:00,2023-06-05 15:49:25,2023,1,13,22,58,Friday,2023,6,5,15,49,582.6,True,False
10,7347,BVIZ,GGDFP,HDZ,First,990.79,No Extras,0,Pending,QT,C,VOD,5.47,2,JGG,TDX,QSJC,BNIA,True,Vegetarian,False,True,False,False,2,2023-07-16 23:40:06,2023-05-30 11:06:14,2023,7,16,23,40,Sunday,2023,5,30,11,6,328.2,False,True
6,4036,BGDW,HFWSY,DKQ,Business,871.56,Meal,0,Cancelled,ZL,A,IZK,9.17,0,YIC,CVB,QHQF,MNDT,True,No meal,True,True,True,False,1,2023-06-15 10:51:09,2023-04-23 05:43:01,2023,6,15,10,51,Thursday,2023,4,23,5,43,550.2,True,True
14,9852,BGKF,JPBNK,MIJ,Economy,858.99,Extra baggage,0,Cancelled,LL,B,RAS,2.99,1,UAN,AZQ,GTAF,HEQZ,False,No meal,False,False,False,True,1,2023-12-22 15:36:58,2023-03-15 12:34:32,2023,12,22,15,36,Friday,2023,3,15,12,34,179.4,False,False
11,7218,BPPX,XXBYC,IUN,First,241.51,Meal,0,Pending,XH,D,PPG,8.79,2,YSB,QED,LTXA,WJMU,False,No meal,True,True,False,True,0,2023-04-22 06:26:58,2023-04-22 01:07:05,2023,4,22,6,26,Saturday,2023,4,22,1,7,527.4,True,True
11,1740,BXMZ,ZVKDN,WCH,First,909.23,Meal,0,Cancelled,HH,B,CPL,3.81,2,XYK,PXV,AEDE,ZQTJ,False,Vegan,True,True,False,True,0,2023-05-02 09:12:40,2023-12-25 10:17:05,2023,5,2,9,12,Tuesday,2023,12,25,10,17,228.6,False,True
18,9495,BLVB,ECZHJ,YLH,Economy,991.42,No Extras,1498,Pending,EF,A,DJS,9.98,1,PBW,QZB,DIRP,QTUO,False,Non-vegetarian,True,False,False,False,2,2023-01-03 21:20:19,2023-08-06 13:09:50,2023,1,3,21,20,Tuesday,2023,8,6,13,9,598.8000000000001,True,True
18,2085,BUMA,LZHWG,EFS,Economy,587.51,Meal,0,Cancelled,LX,A,CGC,8.01,2,YMJ,RAO,WKGD,FEOW,False,Non-vegetarian,True,True,True,False,2,2023-07-30 12:21:42,2023-11-20 19:18:09,2023,7,30,12,21,Sunday,2023,11,20,19,18,480.59999999999997,True,False
11,2210,BJZJ,BZLVT,CNN,First,772.1,No Extras,0,Confirmed,TN,C,YIT,5.94,0,NZF,QBY,NFSN,CXLC,True,Vegan,True,False,False,False,2,2023-05-31 06:56:46,2023-05-09 05:11:18,2023,5,31,6,56,Wednesday,2023,5,9,5,11,356.40000000000003,False,True
12,9420,BKID,KIEFG,MGI,First,619.33,Extra baggage,0,Cancelled,MG,A,AEA,2.42,0,AAQ,MSG,SSNG,QHGX,False,Vegan,False,False,False,False,1,2023-04-30 11:05:16,2023-10-29 01:45:17,2023,4,30,11,5,Sunday,2023,10,29,1,45,145.2,False,False
5,4119,BQSJ,NROAP,OOY,Economy,992.43,Extra baggage,0,Confirmed,HC,C,OEV,3.69,0,PJI,OBV,OZTH,GTTW,True,Non-vegetarian,True,True,False,True,2,2023-06-02 07:07:47,2023-09-06 10:03:55,2023,6,2,7,7,Friday,2023,9,6,10,3,221.4,False,False
9,1267,BMBI,OVIGL,RWH,First,624.43,Meal,0,Cancelled,SH,A,XOA,2.79,0,ICX,CGC,IYPO,HGMY,False,Non-vegetarian,True,False,True,False,1,2023-12-05 21:13:47,2023-07-31 23:02:32,2023,12,5,21,13,Tuesday,2023,7,31,23,2,167.4,False,True
9,3774,BGZJ,ILKCM,AZT,First,500.36,Extra baggage,0,Cancelled,QF,A,NRB,5.14,0,GEV,VKE,EPCY,XLCC,True,Vegan,False,False,True,True,2,2023-04-25 13:14:48,2023-04-08 17:19:08,2023,4,25,13,14,Tuesday,2023,4,8,17,19,308.4,False,True
